83"Yah Yah (feat. Royce Da 5'9""   Black Thought    Q-Tip & Denaun)"  Eminem
7"Blinding Lights"  "The Weeknd"   33551309  https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
77Heartless  "The Weeknd"   8982670  https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
179"Tudo Ok"  "Thiaguinho MT"   5464284  https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
135"Never Seen the Rain"  "Tones and I"   6559332  https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
1"Dance Monkey"  "Tones and I"   50409214  https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
152"SICKO MODE"  "Travis Scott"   6054039  https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
86"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX"  "Travis Scott"   8594049  https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
47"HIGHEST IN THE ROOM"  "Travis Scott"   11867232  https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
186goosebumps  "Travis Scott"   5421097  https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
9Falling  "Trevor Daniel"   28606316  https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
48"Ayy Macarena"  Tyga   11820301  https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
155"Big Drip"  Ufo361   6010373  https://open.spotify.com/track/4qOesAYiMiMFiZrn2wfkl6
198Moonlight  XXXTENTACION   5183159  https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
156SAD!  XXXTENTACION   5971837  https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
177"Jocelyn Flores"  XXXTENTACION   5546921  https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
75Lalala  Y2K   9129776  https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
187"223's (feat. 9lokknine)"  "YNW Melly"   5400709  https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
36Suicidal  "YNW Melly"   13981574  https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
178"Hot (Remix) [feat. Gunna and Travis Scott]"  "Young Thug"   5485603  https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m

Here are the artist's name and Frequency
Surfaces ----  1 times 
"Thiaguinho MT" ----  1 times 
ROSALÍA ----  1 times 
 Black Thought ----  1 times 
"SAINt JHN" ----  1 times 
Lizzo ----  2 times 
"JP Saxe" ----  1 times 
Tyga ----  1 times 
"Lil Uzi Vert" ----  1 times 
"Jonas Brothers" ----  3 times 
Stormzy ----  1 times 
Arcangel ----  1 times 
Riton ----  1 times 
"KAROL G" ----  1 times 
"Chris Brown" ----  1 times 
Gambi ----  1 times 
"Shawn Mendes" ----  2 times 
 Royce Da 5'9"" & Joell Ortiz)" ----  1 times 
"Ellie Goulding" ----  1 times 
"Piso 21" ----  1 times 
"Young Thug" ----  1 times 
"Ed Sheeran" ----  5 times 
"The Black Eyed Peas" ----  1 times 
Shakira ----  1 times 
BTS ----  2 times 
"Ant Saunders" ----  1 times 
MEDUZA ----  2 times 
Camilo ----  1 times 
Maes ----  1 times 
Ufo361 ----  1 times 
"DJ Snake" ----  1 times 
"Daddy Yankee" ----  2 times 
"Post Malone" ----  6 times 
"Sam Smith" ----  2 times 
"Rauw Alejandro" ----  1 times 
blackbear ----  2 times 
"Olivia Rodrigo" ----  1 times 
Khalid ----  1 times 
"Camila Cabello" ----  2 times 
"Mac Miller" ----  12 times 
"Matthew Wilder" ----  1 times 
"Juice WRLD" ----  3 times 
"Don Toliver" ----  1 times 
DaBaby ----  4 times 
"Dua Lipa" ----  1 times 
Sech ----  2 times 
Halsey ----  4 times 
Y2K ----  1 times 
BROCKHAMPTON ----  1 times 
Marshmello ----  1 times 
"Travis Scott" ----  4 times 
"Justin Bieber" ----  1 times 
"Ariana Grande" ----  1 times 
"Red Velvet" ----  1 times 
"Bad Bunny" ----  2 times 
000 Hours (with Justin Bieber)" ----  1 times 
Dalex ----  2 times 
Tainy ----  1 times 
"Arizona Zervas" ----  2 times 
"Billie Eilish" ----  6 times 
"benny blanco" ----  1 times 
"The Weeknd" ----  2 times 
Kina ----  2 times 
Reik ----  1 times 
"YNW Melly" ----  2 times 
SHAED ----  1 times 
"Nicky Jam" ----  2 times 
"Anuel AA" ----  1 times 
"Trevor Daniel" ----  1 times 
"Noah Cyrus" ----  1 times 
"Dominic Fike" ----  1 times 
"5 Seconds of Summer" ----  1 times 
"J Balvin" ----  4 times 
Queen ----  1 times 
JACKBOYS ----  1 times 
"Ali Gatie" ----  1 times 
"Lady Gaga" ----  1 times 
"Jhay Cortez" ----  1 times 
"Rich Music LTD" ----  2 times 
"Lewis Capaldi" ----  3 times 
 next" ----  1 times 
Lunay ----  2 times 
Eminem ----  16 times 
"Ava Max" ----  1 times 
"Henrique & Juliano" ----  1 times 
"Harry Styles" ----  4 times 
 Dalex ----  1 times 
"Doja Cat" ----  1 times 
"Roddy Ricch" ----  2 times 
